Match date,Matches,Team,InStat Index,Goals,Chances,Chances successful,Fouls,Yellow cards,Red cards,Tactics,Offsides,Corner,Shots,Shots on target,Passes,"Accurate passes, %",Key passes,Key passes accurate,Crosses,"Accurate crosses, %",Challenges,"Challenges won, %",Defensive challenges,"Challenges in defence won, %",Attacking challenges,"Challenges in attack won, %",Air challenges,"Air challenges won, %",Dribbles,"Successful dribbles, %",Tackles,"Tackles won, %",Lost balls,Lost balls in own half,Ball recoveries,Ball recoveries in opponent's half,Team pressing,"Pressing efficiency, %","Ball possession, %",Entrances to the opposition half,Entrances to the final third,Entrance to the penalty box,Total actions,Successful actions,"Successful actions, %","Shots on target, %",Shots wide,Blocked shots,Shots on post / bar,Accurate passes,Crosses accurate,Positional attacks,Positional attacks with shots,% of efficiency for positional attacks,Counter-attacks,Counter-attacks with a shot,% of efficiency for counterattacks,Set pieces attacks,Attacks with shots - Set pieces attacks,% of efficiency for set-piece attacks,Free-kick attacks,Free-kick attacks with shots,% of efficiency for free-kick attacks,Corner attacks,Corner attacks with shots,% of efficiency for corner attacks,Throw-in attacks,Throw-in attacks with shots,% of efficiency for throw-in attacks,Free-kick shots,Goals - Free-kick attack,% scored free kick shots,Penalties,"Penalties
 scored","Penalties scored, %",Team pressing successful,Opponent's passes per defensive action,Building-ups,Building-ups without pressing,High pressing,High pressing successful,"High pressing, %",Low pressing,Low pressing successful,"Low pressing, %","Ball possession, sec","Ball possessions, quantity",xG (Expected goals),Opponent's xG,Net xG (xG - Opponent's xG),Expected points,xG conversion,xG per shot,Opponent's xG per shot,xG per goal,Opponent's xG per goal,home_Away
04-10-20,Basel 3 : 2 Luzern,LUZ,201,2,4,2,18,5,0,4-2-3-1,0,5,10,4,411,80%,2,0,11,27%,206,41%,115,30%,91,55%,31,42%,38,71%,63,22%,65,15,40,1,14,21%,50%,59,35,7,802,578,72%,40%,3,3,0,329,3,58,5,9%,8,0,0,11,3,27%,5,1,20%,5,2,40%,1,0,0,1,0,0,0,0,0,3,4.8,34,18,4,1,25%,10,2,20%,1442.41,91,1.32,1.72,0.4,0.7,1.52,0.13,0.1,0.66,0.57,a
04-10-20,St. Gallen 1 : 0 Servette,SG,227,1,5,1,15,4,0,4-4-2d,5,1,9,3,516,77%,6,2,7,14%,180,52%,86,53%,94,50%,58,57%,19,63%,25,44%,92,9,65,8,7,57%,55%,80,41,15,864,636,74%,33%,4,0,2,395,1,77,4,5%,18,3,17%,10,2,20%,7,1,14%,1,1,100%,2,0,0,0,0,0,0,0,0,4,4.2,34,29,2,2,100%,5,2,40%,1521.53,132,0.83,0.83,0,1.5,1.2,0.09,0.09,0.83,0,h
04-10-20,St. Gallen 1 : 0 Servette,SER,205,0,5,0,20,5,0,4-2-3-1,4,7,9,2,385,71%,8,3,8,13%,180,48%,94,50%,86,47%,58,43%,24,58%,22,45%,93,14,70,7,5,60%,45%,66,41,11,730,506,69%,22%,4,1,2,273,1,59,3,5%,30,0,0,11,5,45%,3,2,67%,7,2,29%,1,1,100%,1,0,0,0,0,0,3,4.82,17,10,1,1,100%,4,2,50%,1268.89,122,0.83,0.83,0,1.5,0,0.09,0.09,0,0.83,a
04-10-20,Young Boys 1 : 0 Vaduz,YB,239,1,8,1,15,2,0,03-04-03,1,9,25,9,539,85%,6,3,15,47%,141,56%,64,70%,77,44%,48,56%,26,54%,25,64%,72,4,60,12,18,67%,60%,87,63,28,846,679,80%,36%,10,5,1,456,7,69,11,16%,20,3,15%,15,8,53%,5,3,60%,9,4,44%,1,1,100%,1,0,0,0,0,0,12,6.71,28,16,10,8,80%,8,4,50%,1819.68,121,2.33,0.53,1.8,2.7,0.43,0.09,0.06,2.33,0,h
17-10-20,Servette 0 : 0 Young Boys,SER,208,0,2,0,15,2,1,4-2-3-1,3,2,2,1,410,78%,3,2,6,17%,201,43%,95,44%,106,42%,62,35%,27,52%,39,41%,97,16,63,11,13,15%,44%,51,25,6,794,568,72%,50%,0,1,0,318,1,63,1,2%,19,1,5%,5,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5.01,27,13,6,0,0,7,2,29%,1440.24,113,0.05,2.99,2.94,0.1,0,0.03,0.11,0,0,h
17-10-20,Servette 0 : 0 Young Boys,YB,233,0,13,0,13,2,1,4-4-2c,1,8,27,8,569,81%,14,6,18,33%,201,57%,106,58%,95,56%,62,65%,35,66%,34,59%,79,15,73,9,14,43%,56%,91,56,24,967,736,76%,30%,14,4,1,461,6,77,15,19%,18,3,17%,15,7,47%,6,2,33%,8,4,50%,1,1,100%,2,0,0,0,0,0,6,4.61,36,23,3,2,67%,11,4,36%,1836.65,133,2.99,0.05,2.94,2.7,0,0.11,0.03,0,0,a
17-10-20,Vaduz 1 : 1 Lugano,LUG,216,1,6,1,16,2,0,3-5-2*,1,5,10,2,522,85%,5,3,20,35%,165,48%,67,67%,98,36%,46,59%,27,48%,24,63%,74,17,55,11,11,45%,53%,63,44,12,831,656,79%,20%,5,2,1,445,7,66,4,6%,15,2,13%,14,3,21%,8,3,38%,5,0,0,1,0,0,1,0,0,0,0,0,5,8.43,34,18,5,4,80%,6,1,17%,1682.3,107,0.89,0.88,0.01,1.5,1.12,0.09,0.18,0.89,0.88,a
18-10-20,Luzern 2 : 2 St. Gallen,LUZ,219,2,10,2,11,2,0,4-2-3-1,2,6,18,12,408,79%,6,4,9,22%,176,51%,92,55%,84,46%,40,48%,25,64%,32,59%,72,29,57,6,8,38%,52%,47,34,16,754,565,75%,67%,4,2,0,321,2,47,8,17%,14,1,7%,9,4,44%,3,1,33%,6,3,50%,0,0,0,0,0,0,0,0,0,3,3.05,28,11,1,1,100%,7,2,29%,1444.47,105,2.35,1.25,1.1,2.3,0.85,0.13,0.09,1.18,0.63,h
18-10-20,Luzern 2 : 2 St. Gallen,SG,211,2,3,2,15,2,0,4-4-2d,2,10,14,4,408,78%,4,2,14,21%,176,49%,84,54%,92,45%,40,53%,24,54%,40,60%,73,5,52,20,17,47%,48%,83,56,15,751,550,73%,29%,6,4,0,317,3,67,7,10%,20,2,10%,18,5,28%,7,3,43%,10,2,20%,1,0,0,1,0,0,0,0,0,8,4.59,16,8,11,3,27%,6,5,83%,1353.89,114,1.25,2.35,1.1,0.3,1.6,0.09,0.13,0.63,1.18,a
18-10-20,Sion 0 : 0 Lausanne-Sport,SIO,215,0,2,0,9,0,0,4-3-3d,4,5,6,1,556,79%,2,1,13,8%,137,58%,72,61%,65,54%,38,58%,11,82%,23,70%,83,18,61,10,14,36%,53%,75,39,10,868,674,78%,17%,3,2,0,441,1,78,3,4%,15,1,7%,7,2,29%,2,0,0,5,2,40%,0,0,0,0,0,0,0,0,0,5,4.44,39,27,5,2,40%,9,3,33%,1777.03,121,0.31,0.95,0.64,0.5,0,0.05,0.08,0,0,h
24-10-20,Vaduz 1 : 4 Zurich,ZUR,231,4,10,4,14,4,0,4-4-2c,1,6,15,7,408,80%,10,6,10,10%,159,53%,71,62%,88,45%,34,76%,22,55%,28,61%,65,8,49,6,18,44%,43%,63,42,19,723,554,77%,47%,6,1,1,327,1,55,8,15%,19,2,11%,10,5,50%,4,1,25%,6,4,67%,0,0,0,0,0,0,0,0,0,8,5.61,25,14,7,4,57%,11,4,36%,1289.94,100,1.57,0.98,0.59,2,2.55,0.1,0.2,0.39,0.98,a
24-10-20,Lugano 1 : 0 St. Gallen,LUG,230,1,3,1,15,4,0,3-5-2*,1,1,5,3,333,72%,6,2,9,11%,191,50%,90,60%,101,42%,46,63%,33,48%,32,78%,83,16,56,3,13,23%,38%,55,29,6,705,506,72%,60%,2,0,0,239,1,50,3,6%,26,1,4%,4,1,25%,2,0,0,1,1,100%,1,0,0,0,0,0,0,0,0,3,3.74,22,7,7,3,43%,6,0,0,1175.52,111,0.97,1.72,0.75,0.5,1.03,0.19,0.08,0.97,0,h
24-10-20,Lugano 1 : 0 St. Gallen,SG,206,0,4,0,11,4,0,4-4-2d,0,13,21,7,554,80%,8,2,16,19%,191,50%,101,58%,90,40%,46,37%,21,33%,39,59%,79,8,66,10,15,60%,62%,99,62,13,949,714,75%,33%,6,8,0,441,3,75,9,12%,25,3,12%,17,6,35%,4,3,75%,13,3,23%,0,0,0,2,0,0,0,0,0,9,3.57,30,17,11,6,55%,4,3,75%,1934.24,121,1.72,0.97,0.75,2,0,0.08,0.19,0,0.97,a
